Source,ID,Type,DOI,Title,Authors,Journal,Year,Abstract,Updated Abstract,LitmapsId,Cited By,References,PubMedId,Tags,File Source,URL,pages
Litmap,,,(missing DOI),Jetsons at the FinNLP-2023: Using Synthetic Data and Transfer Learning for Multilingual ESG Issue Classification,"Parker Glenn, Alolika Gon, Nikhil Kohli, Sihan Zha, Parag Dakle, Preethi Raghavan",FINNLP,2023,(missing abstract),"In this paper, we describe the various ap- proaches by the Jetsons team for the Multilin- gual ESG Issue Identification Task (ML-ESG) to classify articles into ESG (environmental, so- cial, and corporate governance) issues they are related to. For English and French articles, we finetune multilingual BERT with synthetic data in a single-label classification setting. For the Chinese articles, we employ transfer learning to leverage the full breadth of the multilingual training data. Our methods achieve 1st place on the leaderboard for French, and 5th place for both English and Chinese.",270978548,9,13,,,,https://aclanthology.org/2023.finnlp-1.15.pdf,
Litmap,,,(missing DOI),Multi-Lingual ESG Issue Identification,"Chung-Chi Chen, Yu-Min Tseng, Juyeon Kang, Anaïs Lhuissier, Min-Yuh Day, Teng-Tsai Tu, Hsin-Hsi Chen",FINNLP,2023,(missing abstract),"This paper introduces an innovative approach for incorporating environmental, social, and governance (ESG) factors into AI-based finan- cial decision-making processes. Recent devel- opments in AI and NLP have predominantly focused on financial outcomes, often disregard- ing the significant impacts that corporations can have on society and the environment. This perspective overlooks potential business risks associated with environmental and social issues. We propose a task, the Multilingual ESG Issue Identification Task (ML-ESG), that seeks to in- tegrate the ESG paradigm into financial NLP systems. The ML-ESG is designed according to the MSCI ESG rating methodology and re- quires systems to classify news articles into 35 key ESG issues. Moreover, systems must identify the target company and its industry, as the weighting of each issue varies accordingly. This paper presents an overview of the ML- ESG shared task, implemented as part of the FinNLP-2023 workshop, detailing the datasets, methods, and participant performances.",272625383,6,17,,,,https://aclanthology.org/2023.finnlp-1.11.pdf,
Litmap,,,10.48550/arxiv.2404.18585,FREB-TQA: A Fine-Grained Robustness Evaluation Benchmark for Table Question Answering,"Wei Zhou, Mohsen Mesgar, Heike Adel, Annemarie Friedrich",arXiv.org,2024,"Table Question Answering (TQA) aims at composing an answer to a question based on tabular data. While prior research has shown that TQA models lack robustness, understanding the underlying cause and nature of this issue remains predominantly unclear, posing a significant obstacle to the development of robust TQA systems. In this paper, we formalize three major desiderata for a fine-grained evaluation of robustness of TQA systems. They should (i) answer questions regardless of alterations in table structure, (ii) base their responses on the content of relevant cells rather than on biases, and (iii) demonstrate robust numerical reasoning capabilities. To investigate these aspects, we create and publish a novel TQA evaluation benchmark in English. Our extensive experimental analysis reveals that none of the examined state-of-the-art TQA systems consistently excels in these three aspects. Our benchmark is a crucial instrument for monitoring the behavior of TQA systems and paves the way for the development of robust TQA systems. We release our benchmark publicly.",,272732328,13,27,,,,,
Litmap,,,(missing DOI),HKESG at the ML-ESG Task: Exploring Transformer Representations for Multilingual ESG Issue Identification,"Ivan Mashkin, Emmanuele Chersoni",FINNLP,2023,(missing abstract),"Environmental, Social and Governance reports have to be periodically released by financial companies, as they represent an essential guide for the potential, socially-responsible new in- vestors. Therefore, automatizing the analysis of reports and extracting the main ESG issues mentioned in the text is a goal of primary im- portance for financial Natural Language Pro- cessing (NLP) systems.
In this paper, we report our experiments for the FinSim4-ESG Shared Task, dedicated to the problem of multilingual ESG issue iden- tification in English and French. Our results show that even simple classifiers trained on multilingual data and using crosslingual Trans- former representations can achieve a strong per- formance in the task.",272845092,4,0,,,,https://aclanthology.org/2023.finnlp-1.16.pdf,
Litmap,,,(missing DOI),Leveraging Contrastive Learning with BERT for ESG Issue Identification,"Weiwei Wang, Wenyang Wei, Qingyuan Song, Yansong Wang",FINNLP,2023,(missing abstract),"In this study, we, the CheryFS team, present a model solutions dedicated to the task of ""Multi- Lingual ESG Issue Identification"" in the Chi- nese track. The objective is to predict the ESG (Environmental, Social, and Governance) la- bel associated with each news article. Our ap- proach integrates supervised and unsupervised data into a comprehensive contrastive learning framework of a MacBERT model with further pretrained. This innovative methodology has resulted in Micro-F1 score of 0.412 on the val- idation dataset. Furthermore, we perform a meticulous analysis of the model’s optimiza- tion strategy, providing valuable insights for future research.",272931117,6,12,,,,https://aclanthology.org/2023.finnlp-1.12.pdf,
Litmap,,,(missing DOI),Team HHU at the FinNLP-2023 ML-ESG Task: A Multi-Model Approach to ESG-Key-Issue Classification,"Fabian Billert, Stefan Conrad",FINNLP,2023,(missing abstract),"In this paper, we discuss our submission to the Multi-Lingual ESG Issue Identification (ML- ESG) 2023, where we classify news articles into different ESG key-issues defined by MSCI. We use an adapter-based approach and evaluate different approaches and configurations, finally showing that it is advantageous to use multiple models in order to first classify articles into E/S/G classes before determining the final sub- issues.",272953902,2,0,,,,https://aclanthology.org/2023.finnlp-1.17.pdf,
Litmap,,,10.48550/arxiv.2406.01771,LLMs Beyond English: Scaling the Multilingual Capability of LLMs with Cross-Lingual Feedback,"Wen Lai, Mohsen Mesgar, Alexander Fraser",arXiv.org,2024,"To democratize large language models (LLMs) to most natural languages, it is imperative to make these models capable of understanding and generating texts in many languages, in particular low-resource ones. While recent multilingual LLMs demonstrate remarkable performance in such capabilities, these LLMs still support a limited number of human languages due to the lack of training data for low-resource languages. Moreover, these LLMs are not yet aligned with human preference for downstream tasks, which is crucial for the success of LLMs in English. In this paper, we introduce xLLaMA-100 and xBLOOM-100 (collectively xLLMs-100), which scale the multilingual capabilities of LLaMA and BLOOM to 100 languages. To do so, we construct two datasets: a multilingual instruction dataset including 100 languages, which represents the largest language coverage to date, and a cross-lingual human feedback dataset encompassing 30 languages. We perform multilingual instruction tuning on the constructed instruction data and further align the LLMs with human feedback using the DPO algorithm on our cross-lingual human feedback dataset. We evaluate the multilingual understanding and generating capabilities of xLLMs-100 on five multilingual benchmarks. Experimental results show that xLLMs-100 consistently outperforms its peers across the benchmarks by considerable margins, defining a new state-of-the-art multilingual LLM that supports 100 languages.",,273140378,36,37,,,,,
Litmap,,,(missing DOI),Statements: Universal Information Extraction from Tables with Large Language Models for ESG KPIs,"Lokesh Mishra, Sohayl Dhibi, Yusik Kim, Cesar Berrospi Ramis, Shubham Gupta, Michele Dolfi, P. Staar",CLIMATENLP,2024,"Environment, Social, and Governance (ESG) KPIs assess an organization’s performance on issues such as climate change, greenhouse gas emissions, water consumption, waste management, human rights, diversity, and policies. ESG reports convey this valuable quantitative information through tables. Unfortunately, extracting this information is difficult due to high variability in the table structure as well as content. We propose Statements, a novel domain agnostic data structure for extracting quantitative facts and related information. We propose translating tables to statements as a new supervised deep-learning universal information extraction task. We introduce SemTabNet - a dataset of over 100K annotated tables. Investigating a family of T5-based Statement Extraction Models, our best model generates statements which are 82% similar to the ground-truth (compared to baseline of 21%). We demonstrate the advantages of statements by applying our model to over 2700 tables from ESG reports. The homogeneous nature of statements permits exploratory data analysis on expansive information found in large collections of ESG reports.",,274495973,4,25,,,,,
Litmap,,,10.48550/arxiv.2409.10058,StyleTTS-ZS: Efficient High-Quality Zero-Shot Text-to-Speech Synthesis with Distilled Time-Varying Style Diffusion,"Yinghao Aaron Li, Xilin Jiang, Cong Han, N. Mesgarani",arXiv.org,2024,"The rapid development of large-scale text-to-speech (TTS) models has led to significant advancements in modeling diverse speaker prosody and voices. However, these models often face issues such as slow inference speeds, reliance on complex pre-trained neural codec representations, and difficulties in achieving naturalness and high similarity to reference speakers. To address these challenges, this work introduces StyleTTS-ZS, an efficient zero-shot TTS model that leverages distilled time-varying style diffusion to capture diverse speaker identities and prosodies. We propose a novel approach that represents human speech using input text and fixed-length time-varying discrete style codes to capture diverse prosodic variations, trained adversarially with multi-modal discriminators. A diffusion model is then built to sample this time-varying style code for efficient latent diffusion. Using classifier-free guidance, StyleTTS-ZS achieves high similarity to the reference speaker in the style diffusion process. Furthermore, to expedite sampling, the style diffusion model is distilled with perceptual loss using only 10k samples, maintaining speech quality and similarity while reducing inference speed by 90%. Our model surpasses previous state-of-the-art large-scale zero-shot TTS models in both naturalness and similarity, offering a 10-20 faster sampling speed, making it an attractive alternative for efficient large-scale zero-shot TTS systems. The audio demo, code and models are available at https://styletts-zs.github.io/.",,277961290,8,71,,,,,
Litmap,,,10.18653/v1/2024.findings-emnlp.387,ESG-Kor: A Korean Dataset for ESG-related Information Extraction and Practical Use Cases,"Jaeyoung Lee, Geonyeong Son, Misuk Kim",(missing journal),2024,(missing abstract),"With the expansion of pre-trained language model usage in recent years, the importance of datasets for performing tasks in specialized domains has significantly increased. Therefore, we have built a Korean dataset called ESG-Kor to automatically extract Environmental, Social, and Governance (ESG) information, which has recently gained importance. ESG-Kor is a dataset consisting of a total of 118,946 sentences that extracted information on each ESG component from Korean companies’ sustainability reports and manually labeled it according to objective rules provided by ESG evaluation agencies. To verify the effectiveness and applicability of the ESG-Kor dataset, classification performance was confirmed using several Korean pre-trained language models, and significant performance was obtained. Additionally, by extending the ESG classification model to documents of small and medium enterprises and extracting information based on ESG key issues and in-depth analysis, we demonstrated potential and practical use cases in the ESG field.",281742857,0,0,,,,https://aclanthology.org/2024.findings-emnlp.387.pdf,
Litmap,,,10.18653/v1/2024.emnlp-industry.106,A Cost-Efficient Modular Sieve for Extracting Product Information from Company Websites,"Anna Hätty, Dragan Milchevski, Kersten Döring, Marko Putnikovic, Mohsen Mesgar, Filip Novović, Maximilian Braun, Karina Leoni Borimann, Igor Stranjanac",(missing journal),2024,(missing abstract),"Extracting product information is crucial for informed business decisions and strategic plan- ning across multiple industries. However, re- cent methods relying only on large language models (LLMs) are resource-intensive and com- putationally prohibitive due to differences in website structures and numerous non-product pages. To address these challenges, we pro- pose a novel modular method that leverages low-cost classification models to filter out com- pany web pages, significantly reducing compu- tational costs. Our approach consists of three modules: web page crawling, product page classification using efficient machine learning models, and product information extraction us- ing LLMs on classified product pages. We eval- uate our method on a new dataset comprising approximately 7,000 product and non-product web pages, achieving a 6-point improvement in F1-score, a 95% reduction in computational time, and an 87.5% reduction in cost compared to end-to-end LLMs. Our research demon- strates the effectiveness of our proposed low- cost classification module to identify web pages containing product information, making prod- uct information extraction more effective and cost-efficient.",281777511,0,0,,,,https://aclanthology.org/2024.emnlp-industry.106.pdf,
Litmap,,,10.48550/arxiv.2412.10064,Text2Cypher: Bridging Natural Language and Graph Databases,"Makbule Gülçin Özsoy, Leila Messallem, Jon Besga, Gianandrea Minneci",arXiv.org,2024,"Knowledge graphs use nodes, relationships, and properties to represent arbitrarily complex data. When stored in a graph database, the Cypher query language enables efficient modeling and querying of knowledge graphs. However, using Cypher requires specialized knowledge, which can present a challenge for non-expert users. Our work Text2Cypher aims to bridge this gap by translating natural language queries into Cypher query language and extending the utility of knowledge graphs to non-technical expert users. While large language models (LLMs) can be used for this purpose, they often struggle to capture complex nuances, resulting in incomplete or incorrect outputs. Fine-tuning LLMs on domain-specific datasets has proven to be a more promising approach, but the limited availability of high-quality, publicly available Text2Cypher datasets makes this challenging. In this work, we show how we combined, cleaned and organized several publicly available datasets into a total of 44,387 instances, enabling effective fine-tuning and evaluation. Models fine-tuned on this dataset showed significant performance gains, with improvements in Google-BLEU and Exact Match scores over baseline models, highlighting the importance of high-quality datasets and fine-tuning in improving Text2Cypher performance.",,282336606,18,25,,,,,
Litmap,,,10.48550/arxiv.2412.20145,Efficient Multi-Agent Collaboration with Tool Use for Online Planning in Complex Table Question Answering,"Wei Zhou, Mohsen Mesgar, Annemarie Friedrich, Heike Adel",arXiv.org,2024,"Complex table question answering (TQA) aims to answer questions that require complex reasoning, such as multi-step or multi-category reasoning, over data represented in tabular form. Previous approaches demonstrated notable performance by leveraging either closed-source large language models (LLMs) or fine-tuned open-weight LLMs. However, fine-tuning LLMs requires high-quality training data, which is costly to obtain, and utilizing closed-source LLMs poses accessibility challenges and leads to reproducibility issues. In this paper, we propose Multi-Agent Collaboration with Tool use (MACT), a framework that requires neither closed-source models nor fine-tuning. In MACT, a planning agent and a coding agent that also make use of tools collaborate to answer questions. Our experiments on four TQA benchmarks show that MACT outperforms previous SoTA systems on three out of four benchmarks and that it performs comparably to the larger and more expensive closed-source model GPT-4 on two benchmarks, even when using only open-weight models without any fine-tuning. We conduct extensive analyses to prove the effectiveness of MACT's multi-agent collaboration in TQA.",,282906886,8,24,,,,,
Litmap,,,10.18653/v1/2025.findings-acl.986,Large Language Models as Neurolinguistic Subjects: Discrepancy between Performance and Competence,"Linyang He, Ercong Nie, Helmut Schmid, Hinrich Schutze, N. Mesgarani, Jonathan Brennan",Findings of the Association for Computational Linguistics: ACL 2022,2024,"This study investigates the linguistic understanding of Large Language Models (LLMs) regarding signifier (form) and signified (meaning) by distinguishing two LLM assessment paradigms: psycholinguistic and neurolinguistic. Traditional psycholinguistic evaluations often reflect statistical rules that may not accurately represent LLMs'true linguistic competence. We introduce a neurolinguistic approach, utilizing a novel method that combines minimal pair and diagnostic probing to analyze activation patterns across model layers. This method allows for a detailed examination of how LLMs represent form and meaning, and whether these representations are consistent across languages. We found: (1) Psycholinguistic and neurolinguistic methods reveal that language performance and competence are distinct; (2) Direct probability measurement may not accurately assess linguistic competence; (3) Instruction tuning won't change much competence but improve performance; (4) LLMs exhibit higher competence and performance in form compared to meaning. Additionally, we introduce new conceptual minimal pair datasets for Chinese (COMPS-ZH) and German (COMPS-DE), complementing existing English datasets.",,289349474,0,46,,,,,
Litmap,,,10.18653/v1/2025.climatenlp-1.1,Enhancing Retrieval for ESGLLM via ESG-CID: A Disclosure Content Index Finetuning Dataset for Mapping GRI and ESRS,"Shafiuddin Rehan Ahmed, Ankit P. Shah, Quan H. Tran, Vivek Khetan, Sung‐Ho Kang, Ankit I. Mehta, Yujia Bao, Wei Wei",(missing journal),2025,(missing abstract),"Climate change has intensified the need for transparency and accountability in organizational practices, making Environmental, Social, and Governance (ESG) reporting increasingly crucial. Frameworks like the Global Reporting Initiative (GRI) and the new European Sustainability Reporting Standards (ESRS) aim to standardize ESG reporting, yet generating comprehensive reports remains challenging due to the considerable length of ESG documents and variability in company reporting styles. To facilitate ESG report automation, Retrieval-Augmented Generation (RAG) systems can be employed, but their development is hindered by a lack of labeled data suitable for training retrieval models. In this paper, we leverage an underutilized source of weak supervision—the disclosure content index found in past ESG reports—to create a comprehensive dataset, ESG-CID, for both GRI and ESRS standards. By extracting mappings between specific disclosure requirements and corresponding report sections, and refining them using a Large Language Model as a judge, we generate a robust training and evaluation set. We benchmark popular embedding models on this dataset and show that fine-tuning BERT-based models can outperform commercial embeddings and leading public models, even under temporal data splits for cross-report style transfer from GRI to ESRS.",289512620,0,0,,,,https://aclanthology.org/2025.climatenlp-1.1.pdf,
Litmap,,,10.18653/v1/2025.acl-long.1257,AAD-LLM: Neural Attention-Driven Auditory Scene Understanding,"Xilin Jiang, Sukru Samet Dindar, Vishal Choudhari, Stephan Bickel, Ashesh D. Mehta, Guy M. McKhann, Daniel Friedman, Adeen Flinker, Nima Mesgarani",(missing journal),2025,(missing abstract),"Auditory foundation models, including auditory large language models (LLMs), process all sound inputs equally, independent of listener perception. However, human auditory perception is inherently selective: listeners focus on specific speakers while ignoring others in complex auditory scenes. Existing models do not incorporate this selectivity, limiting their ability to generate perception-aligned responses. To address this, we introduce intention-informed auditory scene understanding (II-ASU) and present Auditory Attention-Driven LLM (AAD-LLM), a prototype system that integrates brain signals to infer listener attention. AAD-LLM extends an auditory LLM by incorporating intracranial electroencephalography (iEEG) recordings to decode which speaker a listener is attending to and refine responses accordingly. The model first predicts the attended speaker from neural activity, then conditions response generation on this inferred attentional state. We evaluate AAD-LLM on speaker description, speech transcription and extraction, and question answering in multitalker scenarios, with both objective and subjective ratings showing improved alignment with listener intention. By taking a first step toward intention-aware auditory AI, this work explores a new paradigm where listener perception informs machine listening, paving the way for future listener-centered auditory systems. Demo available.",289512665,2,0,,,,https://aclanthology.org/2025.acl-long.1257.pdf,
Litmap,,,10.18653/v1/2025.findings-acl.117,Texts or Images? A Fine-grained Analysis on the Effectiveness of Input Representations and Models for Table Question Answering,"Wei Zhou, Mohsen Mesgar, Heike Adel, Annemarie Friedrich",Findings of the Association for Computational Linguistics: ACL 2022,2025,(missing abstract),"In table question answering (TQA), tables are encoded as either texts or images. Prior work suggests that passing images of tables to multi-modal large language models (MLLMs) performs comparably to using textual input with large language models (LLMs). However, the lack of controlled setups limits fine-grained distinctions between these approaches. In this paper, we conduct the first controlled study on the effectiveness of several combinations of table representations and model types from two perspectives: question complexity and table size. We build a new benchmark based on existing TQA datasets. In a systematic analysis of seven pairs of MLLMs and LLMs, we find that the best combination of table representation and model varies across setups. We propose FRES, a method selecting table representations dynamically, and observe a 10% average performance improvement compared to using both representations indiscriminately.
",289520577,0,0,,,,https://aclanthology.org/2025.findings-acl.117.pdf,
Litmap,,,10.18653/v1/2025.sigtyp-1.9,XCOMPS: A Multilingual Benchmark of Conceptual Minimal Pairs,"Linyang He, Ercong Nie, Sukru Samet Dindar, Ali Akbar Firoozi, Van Thinh Nguyen, Corentin Puffay, Riki Shimizu, Haotian Ye, Jonathan Brennan, Helmut Schmid, Hinrich Schuetze, Nima Mesgarani",(missing journal),2025,(missing abstract),"In this work, we introduce XCOMPS, a multilingual conceptual minimal pair dataset that covers 17 languages.Using this dataset, we evaluate LLMs’ multilingual conceptual understanding through metalinguistic prompting, direct probability measurement, and neurolinguistic probing. We find that: 1) LLMs exhibit weaker conceptual understanding for low-resource languages, and accuracy varies across languages despite being tested on the same concept sets. 2) LLMs excel at distinguishing concept-property pairs that are visibly different but exhibit a marked performance drop when negative pairs share subtle semantic similarities. 3) More morphologically complex languages yield lower concept understanding scores and require deeper layers for conceptual reasoning.
",289546128,0,0,,,,https://aclanthology.org/2025.sigtyp-1.9.pdf,
